gazetteerId,placeName,sourcePlaceName,pleiadesId,pleiadesName,latitude,longitude,featureType,description,uri,confidence
GAZ00034,Bethallaha,Bethallaha,876591,Bethallaha,,,unknown,"An ancient place, cited: BAtlas 89 unlocated Bethallaha",http://pleiades.stoa.org/places/876591,confirmed
GAZ00035,Betproclis,Betproclis,668212,Betproclis,34.639874,37.111805,unknown,"An ancient place, cited: BAtlas 68 D4 Betproclis",http://pleiades.stoa.org/places/668212,confirmed
GAZ00036,Bingio,Bingio,108809,Bingium,49.968995,7.895659,unknown,"An ancient place, cited: BAtlas 11 H3 Bingium",http://pleiades.stoa.org/places/108809,confirmed
GAZ00037,Birsama,Birsama,687864,Birsama,31.26045,34.537078,unknown,"An ancient place, cited: BAtlas 70 F3 Birsama",http://pleiades.stoa.org/places/687864,confirmed
GAZ00038,Bodobrica,Bodobrica,108817,Bodobrica,50.230984,7.591936,unknown,Bodobrica (Boppard),http://pleiades.stoa.org/places/108817,confirmed
GAZ00039,Bostra,Bostra,678073,Bostra,32.517831,36.48369,unknown,"The ancient city of Bostra (modern Busra in Syria), where extensive ancient Nabataean, Roman, Byzantine and Umayyad structures still visible. Inscribed as a UNESCO World Heritage Site in 1980.",http://pleiades.stoa.org/places/678073,confirmed
GAZ00040,Branoduno,Branoduno,79346,Branodunum,52.962911,0.636879,unknown,A third century A.D. Roman fort that was part of the Saxon Shore fortification system.,http://pleiades.stoa.org/places/79346,confirmed
GAZ00041,Caini,Caini,876602,Caini,,,unknown,"An ancient place, cited: BAtlas 89 unlocated Caini",http://pleiades.stoa.org/places/876602,confirmed
GAZ00042,Callinico,Callinico,668318,Callinicum,35.972501,39.08287,unknown,Nicephorium (modern ar-Raqqa in Syria) was an ancient settlement.,http://pleiades.stoa.org/places/668318,confirmed
GAZ00043,Campona,Campona,197187,Campona,47.393234,18.984598,unknown,"An ancient place, cited: BAtlas 20 F2 Campona",http://pleiades.stoa.org/places/197187,confirmed
GAZ00044,Candidiana,Candidiana,216896,Candidiana,44.063431,26.848302,unknown,"An ancient place, cited: BAtlas 22 D4 Nigrinianis/Candidiana",http://pleiades.stoa.org/places/216896,confirmed
GAZ00045,Cannabiaca,Cannabiaca,128375,Cannabiaca,48.329013,16.177392,unknown,"An ancient place, cited: BAtlas 13 B4 Cannabiaca?",http://pleiades.stoa.org/places/128375,confirmed
GAZ00046,Cardabiaca,Cardabiaca,197283,Cardabiaca,47.724319,18.660225,unknown,"An ancient place, cited: BAtlas 20 F2 Gardellaca/Cardabiaca",http://pleiades.stoa.org/places/197283,confirmed
GAZ00047,Carnunto,Carnunto,128376,Carnuntum,48.113346,16.867891,unknown,A Roman army camp on the Danube river in Noricum; after the first century AD Carnuntum served as the capital of Upper Pannonia.,http://pleiades.stoa.org/places/128376,confirmed
GAZ00048,Cartha,Cartha,699911,Cartha,,,unknown,"An ancient place, cited: BAtlas 71 unlocated Sartha/Cartha/Sirtha",http://pleiades.stoa.org/places/699911,confirmed
GAZ00049,Casama,Casama,678085,Casama,34.031455,36.700612,unknown,"An ancient place, cited: BAtlas 69 E1 Casama",http://pleiades.stoa.org/places/678085,confirmed
GAZ00050,Chaszanenica,Chaszanenica,857137,Chaszanenica,40.761648,39.598493,unknown,"An ancient place, cited: BAtlas 87 E4 Gizenenica/Chaszanenica",http://pleiades.stoa.org/places/857137,confirmed
GAZ00051,Chiaca,Chiaca,629008,Chiaca,38.684258,38.39808,unknown,"An ancient place, cited: BAtlas 64 G3 Kiakis",http://pleiades.stoa.org/places/629008,confirmed
GAZ00052,Cii,Cii,216770,Cius,44.77792,28.09352,unknown,"An ancient place, cited: BAtlas 22 F4 Cius",http://pleiades.stoa.org/places/216770,confirmed
GAZ00053,Cilurno,Cilurno,89144,Cilurnum,55.025811,-2.139952,unknown,Cilurnum is the site of a fort dating to A.D. 123 on Hadrian's Wall that guarded a military bridge along the Roman road. It is now known as Chester's Roman Fort.,http://pleiades.stoa.org/places/89144,confirmed
GAZ00054,Cimbrianis,Cimbrianis,203114,Cimbrianis,,,unknown,"An ancient place, cited: BAtlas 20 unlocated Cimbrianis",http://pleiades.stoa.org/places/203114,confirmed
GAZ00055,Circesio,Circesio,893974,Circesium,35.334435,40.326381,unknown,"A Roman limes fortress located in Mesopotamia, along the Khabur river, near the point where it flows into the Euphrates.",http://pleiades.stoa.org/places/893974,confirmed
GAZ00056,Cirpi,Cirpi,197208,Cirpi,47.794589,19.034743,unknown,"An ancient place, cited: BAtlas 20 G2 Cirpi",http://pleiades.stoa.org/places/197208,confirmed
GAZ00057,Como,Como,383627,Comum,45.81192,9.085784,unknown,Comum (modern Como) was a key city of regio XI of ancient Italy. The Celtic site received a Roman colony (Novum Comum) under Iulius Caesar in the first century BC.,http://pleiades.stoa.org/places/383627,confirmed
GAZ00058,Concangios,Concangios,89146,Concangios,54.855844,-1.571925,unknown,"A Roman fort at present-day Chester-le-Street, cited: BAtlas 9 F6 ‘Cocanges’/‘Concangios’",http://pleiades.stoa.org/places/89146,confirmed
GAZ00059,Conderco,Conderco,89150,Condercum,54.977092,-1.664359,unknown,A fort on Hadrian's Wall,http://pleiades.stoa.org/places/89150,confirmed
