placeId,sourceNodeId,occurrenceId,placeName,pleiadesId,pleiadesName,latitude,longitude,featureType,document,chapter,office,unit,sourceLine,matchType,confidence,contextStatus,gisProvince,expectedProvince,hardProvince,softProvince,region
OCC000097,,OCC000097,Sirmi,383781,Sirmio,45.492485,10.60805,settlement,Occidentis,Dux Pannoniae,,Ala Sirmensis,1255,EXACT_NO_CONTEXT,confirmed,SOFT_MISMATCH,VENETIA ET HISTRIA,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000098,,OCC000098,Seruitii,197509,Servitium,45.151471,17.25609,unknown,Occidentis,Dux Pannoniae,Praefectus,classis primae Pannonicae,1256,CONTEXT_FUZZY,confirmed,SOFT_MATCH,SAVIA,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000100,,OCC000100,Sisciae,197504,Siscia,45.483168,16.371388,unknown,Occidentis,Dux Pannoniae,Tribunus,cohortis tertiae Alpinorum,1258,CONTEXT_EXACT,confirmed,SOFT_MATCH,SAVIA,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000104,,OCC000104,Intercisa,197323,Intercisa,46.974661,18.937209,unknown,Occidentis,Dux provinciae Valeriae,,Cuneus equitum Dalmatarum,1275,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000107,,OCC000107,Altino,197110,Altinum,45.956108,18.683919,fort,Occidentis,Dux provinciae Valeriae,,Cuneus equitum Fortensium,1278,CONTEXT_EXACT,confirmed,SOFT_MATCH,VALERIA,Valeriae ripensis,,Valeriae ripensis,
OCC000109,,OCC000109,Crumero,197232,Crumerum,47.758799,18.538585,unknown,Occidentis,Dux provinciae Valeriae,,Equites promoti,1280,EXACT_NO_CONTEXT,confirmed,SOFT_MISMATCH,PANNONIA SUPERIOR,Valeriae ripensis,,Valeriae ripensis,
OCC000110,,OCC000110,Solua,197519,Solva,47.793351,18.741986,unknown,Occidentis,Dux provinciae Valeriae,,Equites Mauri,1281,CONTEXT_FUZZY,confirmed,SOFT_MATCH,VALERIA,Valeriae ripensis,,Valeriae ripensis,
OCC000112,,OCC000112,Cirpi,197208,Cirpi,47.794589,19.034743,unknown,Occidentis,Dux provinciae Valeriae,,Equites Dalmatae,1283,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000114,,OCC000114,Campona,197187,Campona,47.393234,18.984598,unknown,Occidentis,Dux provinciae Valeriae,,Equites Dalmatae,1285,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000116,,OCC000116,Vetusalinae,197580,Vetus Salina,47.119577,18.86527,unknown,Occidentis,Dux provinciae Valeriae,,Equites Dalmatae,1287,CONTEXT_NEAR_FUZZY,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
