mentionId;document;line;literalForm;source;pointEligible;issue;nodeType;officeType;office;unit;chapter;groupPath;sourceText
PM000031;Occidentis;786;Remorum;unit;1;;unknown;praepositus;Praepositus;thesaurorum Remorum;Insignia viri illustris comitis sacrarum largitionum;Praepositi thesauroum / Per Gallias;Praepositus thesaurorum Remorum.
PM000032;Occidentis;787;Triberorum;unit;1;;unknown;praepositus;Praepositus;thesaurorum Triberorum;Insignia viri illustris comitis sacrarum largitionum;Praepositi thesauroum / Per Gallias;Praepositus thesaurorum Triberorum.
PM000033;Occidentis;789;Augustensium;unit;1;;unknown;praepositus;Praepositus;thesaurorum Augustensium;Insignia viri illustris comitis sacrarum largitionum;Praepositi thesauroum / In Britanniis;Praepositus thesaurorum Augustensium.
PM000034;Occidentis;791;Siscianae;unit;1;;civil;procurator;Procurator;monetae Siscianae;Insignia viri illustris comitis sacrarum largitionum;Procuratores monetarum;Procurator monetae Siscianae.
PM000035;Occidentis;792;Aquileiensis;unit;1;;civil;procurator;Procurator;monetae Aquileiensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores monetarum;Procurator monetae Aquileiensis.
PM000036;Occidentis;793;Romae;unit;1;;civil;procurator;Procurator;monetae urbis Romae;Insignia viri illustris comitis sacrarum largitionum;Procuratores monetarum;Procurator monetae urbis Romae.
PM000037;Occidentis;794;Lugdunensis;unit;1;;civil;procurator;Procurator;monetae Lugdunensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores monetarum;Procurator monetae Lugdunensis.
PM000038;Occidentis;795;Arelatensis;unit;1;;civil;procurator;Procurator;monetae Arelatensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores monetarum;Procurator monetae Arelatensis.
PM000039;Occidentis;796;Triberorum;unit;1;;civil;procurator;Procurator;monetae Triberorum;Insignia viri illustris comitis sacrarum largitionum;Procuratores monetarum;Procurator monetae Triberorum.
PM000040;Occidentis;798;Bassianensis;unit;1;;civil;procurator;Procurator;gynaecii Bassianensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Bassianensis, Pannoniae secundae - translati Salonis.
PM000041;Occidentis;798;Salonis;transfer;1;;civil;procurator;Procurator;gynaecii Bassianensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Bassianensis, Pannoniae secundae - translati Salonis.
