occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText,pleiadesId,pleiadesName,candidate,rule,tier,latitude,longitude,featureType,gisProvince,geojsonId,nearestProvince,nearestGeojsonId,nearestKm,nameSimilarity,contextStatus,contextScore,matchType,similarity
OCC000022,Occidentis,Insignia viri illustris comitis sacrarum largitionum,775,Salonitanorum,unit,Praepositus,thesaurorum Salonitanorum,Dalmatiae,,Dalmatiae,,Dalmatiae,ILLYRICUM,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Illyricum,197488,Salona,Salonitanorum,toponymic_anchor,0,43.539561,16.483426,unknown,DALMATIA,72,,,,1.0,HARD_MATCH,1.000,CONTEXT_EXACT,1.000
OCC000023,Occidentis,Insignia viri illustris comitis sacrarum largitionum,776,Siscianorum,unit,Praepositus,thesaurorum Siscianorum,Saviae,,Saviae,,Saviae,ILLYRICUM,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Illyricum,197504,Siscia,Siscianorum,toponymic_anchor,0,45.483168,16.371388,unknown,SAVIA,79,,,,1.0,HARD_MATCH,1.000,CONTEXT_EXACT,1.000
OCC000024,Occidentis,Insignia viri illustris comitis sacrarum largitionum,777,Sabariensium,unit,Praepositus,thesaurorum Sabariensium,Pannoniae primae,,Pannoniae primae,,Pannoniae primae,ILLYRICUM,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Illyricum,197498,Savaria,Sabariensium,toponymic_anchor,0,47.235142,16.62192,unknown,PANNONIA SUPERIOR,86,,,,1.0,HARD_MATCH,1.000,CONTEXT_EXACT,1.000
OCC000025,Occidentis,Insignia viri illustris comitis sacrarum largitionum,779,Aquileiensium,unit,Praepositus,thesaurorum Aquileiensium,Venetiae,,Venetiae,,Venetiae,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Italiam,187290,Aquileia,Aquileiensium,toponymic_anchor,0,45.768259,13.364601,unknown,VENETIA ET HISTRIA,80,,,,1.0,HARD_MATCH,1.000,CONTEXT_EXACT,1.000
OCC000026,Occidentis,Insignia viri illustris comitis sacrarum largitionum,780,Mediolanensium,unit,Praepositus,thesaurorum Mediolanensium,Liguriae,,Liguriae,,Liguriae,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Italiam,383706,Mediolanum,Mediolanensium,toponymic_anchor,0,45.463746,9.18806,settlement;urban,AEMILIA ET LIGURIA,77,,,,1.0,HARD_MATCH,1.000,CONTEXT_EXACT,1.000
OCC000027,Occidentis,Insignia viri illustris comitis sacrarum largitionum,781,Romae,unit,Praepositus,thesaurorum urbis Romae,,,,,,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Italiam,423025,Roma,Roma,original_case,0,41.8917,12.4862,temple-2,TUSCIA ET UMBRIA,60,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000029,Occidentis,Insignia viri illustris comitis sacrarum largitionum,784,Lugdunensium,unit,Praepositus,thesaurorum Lugdunensium,,,,,,GALLIAE,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Gallias,167717,Col. Lugdunum,Lugdunensium,toponymic_anchor,0,45.75863,4.819486,unknown,LUGDUNENSIS I,87,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000030,Occidentis,Insignia viri illustris comitis sacrarum largitionum,785,Arelatensium,unit,Praepositus,thesaurorum Arelatensium,,,,,,GALLIAE,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Gallias,148217,Col. Arelate,Arelatensium,toponymic_anchor,0,43.677616,4.630799,unknown,VIENNENSIS,78,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000031,Occidentis,Insignia viri illustris comitis sacrarum largitionum,786,Remorum,unit,Praepositus,thesaurorum Remorum,,,,,,GALLIAE,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Gallias,108945,Durocortorum,Remorum,toponymic_anchor,0,49.254104,4.032504,unknown,BELGICA II,94,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000032,Occidentis,Insignia viri illustris comitis sacrarum largitionum,787,Triberorum,unit,Praepositus,thesaurorum Triberorum,,,,,,GALLIAE,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / Per Gallias,108894,Col. Augusta Treverorum,Triberorum,toponymic_anchor,0,49.753731,6.646217,unknown,BELGICA I,92,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000033,Occidentis,Insignia viri illustris comitis sacrarum largitionum,789,Augustensium,unit,Praepositus,thesaurorum Augustensium,Britanniis,,Britanniis,,Britanniis,BRITANNIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi thesauroum / In Britanniis,79574,Augusta,Augusta,toponymic_ensium,1,51.513335,-0.088949,unknown,BRITANNIAE I AND II,96,,,,1.0,HARD_MATCH,1.000,CONTEXT_EXACT,1.000
OCC000034,Occidentis,Insignia viri illustris comitis sacrarum largitionum,791,Siscianae,unit,Procurator,monetae Siscianae,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores monetarum,197504,Siscia,Siscianae,toponymic_anchor,0,45.483168,16.371388,unknown,SAVIA,79,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000035,Occidentis,Insignia viri illustris comitis sacrarum largitionum,792,Aquileiensis,unit,Procurator,monetae Aquileiensis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores monetarum,187290,Aquileia,Aquileiensis,toponymic_anchor,0,45.768259,13.364601,unknown,VENETIA ET HISTRIA,80,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000036,Occidentis,Insignia viri illustris comitis sacrarum largitionum,793,Romae,unit,Procurator,monetae urbis Romae,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores monetarum,423025,Roma,Roma,original_case,0,41.8917,12.4862,temple-2,TUSCIA ET UMBRIA,60,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000037,Occidentis,Insignia viri illustris comitis sacrarum largitionum,794,Lugdunensis,unit,Procurator,monetae Lugdunensis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores monetarum,167717,Col. Lugdunum,Lugdunensis,toponymic_anchor,0,45.75863,4.819486,unknown,LUGDUNENSIS I,87,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000038,Occidentis,Insignia viri illustris comitis sacrarum largitionum,795,Arelatensis,unit,Procurator,monetae Arelatensis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores monetarum,148217,Col. Arelate,Arelatensis,toponymic_anchor,0,43.677616,4.630799,unknown,VIENNENSIS,78,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000039,Occidentis,Insignia viri illustris comitis sacrarum largitionum,796,Triberorum,unit,Procurator,monetae Triberorum,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores monetarum,108894,Col. Augusta Treverorum,Triberorum,toponymic_anchor,0,49.753731,6.646217,unknown,BELGICA I,92,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000042,Occidentis,Insignia viri illustris comitis sacrarum largitionum,799,Sirmensis,unit,Procurator,gynaecii Sirmensis,Pannoniae secundae,,Pannoniae secundae,,Pannoniae secundae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum,222195,Syrmus,Sirmus,toponymic_ensis,1,,,unknown,,,,,,1.0,HARD_UNVERIFIED,0.000,FUZZY_NO_CONTEXT,1.000
OCC000045,Occidentis,Insignia viri illustris comitis sacrarum largitionum,801,Aquileiensis,unit,Procurator,gynaecii Aquileiensis,Venetiae inferioris,,Venetiae inferioris,,Venetiae inferioris,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum,187290,Aquileia,Aquileiensis,toponymic_anchor,0,45.768259,13.364601,unknown,VENETIA ET HISTRIA,80,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000046,Occidentis,Insignia viri illustris comitis sacrarum largitionum,802,Mediolanensis,unit,Procurator,gynaecii Mediolanensis,Liguriae,,Liguriae,,Liguriae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum,383706,Mediolanum,Mediolanensis,toponymic_anchor,0,45.463746,9.18806,settlement;urban,AEMILIA ET LIGURIA,77,,,,1.0,HARD_MATCH,1.000,CONTEXT_EXACT,1.000
OCC000047,Occidentis,Insignia viri illustris comitis sacrarum largitionum,803,Romae,unit,Procurator,gynaecii urbis Romae,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum,423025,Roma,Roma,original_case,0,41.8917,12.4862,temple-2,TUSCIA ET UMBRIA,60,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000048,Occidentis,Insignia viri illustris comitis sacrarum largitionum,804,Canusini,unit,Procurator,gynaecii Canusini et Venusini,Apuliae,,Apuliae,,Apuliae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum,442525,Canusium,Canusinum,original_case,0,41.2225,16.066004,unknown,APULIA ET CALABRIA,39,,,,0.8888888888888888,HARD_MATCH,1.000,,0.889
OCC000050,Occidentis,Insignia viri illustris comitis sacrarum largitionum,805,Carthagiensis,unit,Procurator,gynaecii Carthagiensis,,,,,,AFRICA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum,314921,Carthago,Carthagiensis,toponymic_anchor,0,36.847009,10.312944,unknown,AFRICA PROCONSULARIS,15,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000052,Occidentis,Insignia viri illustris comitis sacrarum largitionum,807,Lugdunensis,unit,Procurator,gynaecii Lugdunensis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum,167717,Col. Lugdunum,Lugdunensis,toponymic_anchor,0,45.75863,4.819486,unknown,LUGDUNENSIS I,87,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000053,Occidentis,Insignia viri illustris comitis sacrarum largitionum,808,Remensis,unit,Procurator,gynaecii Remensis,Belgicae secundae,,Belgicae secundae,,Belgicae secundae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum,108945,Durocortorum,Remensis,toponymic_anchor,0,49.254104,4.032504,unknown,BELGICA II,94,,,,1.0,HARD_MATCH,1.000,CONTEXT_EXACT,1.000
OCC000054,Occidentis,Insignia viri illustris comitis sacrarum largitionum,809,Triberorum,unit,Procurator,gynaecii Triberorum,Belgicae primae,,Belgicae primae,,Belgicae primae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum,108894,Col. Augusta Treverorum,Triberorum,toponymic_anchor,0,49.753731,6.646217,unknown,BELGICA I,92,,,,1.0,HARD_MATCH,1.000,CONTEXT_EXACT,1.000
OCC000055,Occidentis,Insignia viri illustris comitis sacrarum largitionum,810,Augustoduno,unit,Procurator,gynaecii Augustoduno translati Mettis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum,177460,Augustodunum,Augustodunum,original_case,0,46.949448,4.299314,unknown,LUGDUNENSIS I,87,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000056,Occidentis,Insignia viri illustris comitis sacrarum largitionum,810,Mettis,transfer,Procurator,gynaecii Augustoduno translati Mettis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum,108927,Mettis,Mettis,original,0,49.11605,6.172677,unknown,BELGICA I,92,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
