pleiadesId,romanized,attested,language,nameType
737024, Psinaleitidos,,,geographic
737024, Psinaleitidos Diorux,,,geographic
741584, Ptolemaidos Hormou,,,geographic
741584, Ptolemaidos Hormou Oreine,,,geographic
599887, Pygela,,,geographic
748962, Rasa,,,geographic
795854, Say,,,geographic
795854, Saye,,,geographic
363951, Scina,,,geographic
511414, Selybria,,,geographic
511414, Selymbria,Σηλυμβρίη,grc,geographic
737040, Seouerou,,,geographic
737040, Seuerou,,,geographic
599934, Sibde,,,geographic
599934, Side,,,geographic
857334, Stennitike,,,geographic
737065, Talei,,,geographic
737065, Taleithis,,,geographic
614852, Tembrion,,,geographic
614852, Tembrion Chorion,,,geographic
798111, Tene,,,geographic
798111, Tene Mer.,,,geographic
511435, Tesderamoska,,,geographic
697754, Thana,,,geographic
741625, Themistou,,,geographic
741625, Themistou Potamos,,,geographic
778443, Thi,,,geographic
778443, Thio,,,geographic
697754, Thoana,,,geographic
678434, Trachon,,,geographic
678434, Trachonitis,,,geographic
795874, Troglodytae,,,geographic
795874, Trogodytae,,,geographic
609564, Tyraion,,,geographic
609564, Tyriaion,,,geographic
857385, Zigane,,,geographic
857385, Ziganne,,,geographic
550397,(...)aleia,,,geographic
554172,(...)dana,,,geographic
334467,(...)lense,,,geographic
622122,(...)pykena,,,geographic
314837,(...)rdensium,,,geographic
314838,(...)sinsensium,,,geographic
786021,(jw) 3bw,,egy,geographic
786021,"(jw)ꜣbw, (jw)3bw, jw3bw, jw 3bw",,egy,geographic
413332,*tarchuna,,etruscan-in-latin-characters,geographic
786021,3bw,,,geographic
778409,86 Hydreumata: Pmoun + proper name,,,geographic
138251,[ - ? - ]o,[ - ? - ]o,la,geographic
727122,"[(pr Ḏḥwtj)wpj rḥwj], [pr Ḏḥwtjwpj rḥwj], [wpj rḥwj]",,egy,geographic
197098,[Albanta],,,geographic
520960,[Antigoneia],,,geographic
707491,[Aoos],,,geographic
393406,[Claterna],,,geographic
383624,[Comacina],,,geographic
89167,[Derventio],,,geographic
89168,[Derventio],,,geographic
118653,[Druna],,,geographic
912879,[Dudjayl],,,geographic
629014,[Korakesios],,,geographic
511303,[Libon] M.,,,geographic
521076,[Lykos],,,geographic
83867,[Modornus],,,geographic
615346,[P]okometon,,,geographic
639057,[Phoinix],,,geographic
271068,[Pityussa] Iugum,,,geographic
786017,"[pr]-Sbk-ḥtpmpr-Jmn, pr-Sbk-ḥtpmpr-Jmn, Sbk-ḥtpmpr-Jmn",,egy,geographic
786017,"[pr]-Sḫm-Rʿḫwj‑[tꜣwj], Sḫm-Rʿḫwj‑tꜣwj, pr-Sḫm-Rʿḫwj‑tꜣwj, pr-Sḫm-Rʿḫwj, Sḫm-Rʿḫwj, Sḫm-Rʿḫwj‑t3wj, pr-Sḫm-Rʿḫwj‑t3wj",,egy,geographic
383767,[S. Iulianus],,,geographic
884201,[Sabalan] M.,,,geographic
383778,[Sesterrio],,,geographic
511422,[Sophon] M.,,,geographic
894101,[Tartaru],,,geographic
138609,[Taunucus],,,geographic
786059,"[tꜣ]-snj jwnyt, tꜣ-snj jwnyt, snj jwnyt, Ta Senet",,egy,geographic
138641,[Vedonia],,,geographic
324652,A(...),,,geographic
324670,A...,,,geographic
108749,Aachen,Aachen,ar,geographic
108722,Aardenburg,,,geographic
462062,Abacano,Abacano,it,geographic
540582,Abai,Ἀβαὶ,grc,geographic
462062,Abakainon,Ἀβάκαινον,grc,geographic
456022,Abala,,,geographic
805587,Abale,,,geographic
59647,Abali,,,geographic
89092,"Aballava, Aballaua",Aballava,la,geographic
177427,Aballo,,,geographic
98907,Abalus,,,geographic
915817,Aban,,,geographic
334468,Abannae,,,geographic
540583,Abantes,,,geographic
658362,Abarara,,,geographic
252927,Abariltur,,,geographic
338242,Abaritana,,,geographic
874292,Abarne,,,geographic
501322,Abarnias,,,geographic
501322,Abarnis,,,geographic
501322,Abarnos,,,geographic
952057,Abarshahr,,,geographic
865987,Abas,Ἄβας,grc,geographic
39262,Abasenoi,,,geographic
857006,Abasgia,,,geographic
857006,Abasgoi,,,geographic
857007,Abaskos,,,geographic
942270,Abaskun,,,geographic
59648,Abastanoi,,,geographic
376747,Abathouba,,,geographic
785957,Abaton,,,geographic
897697,Abba,,,geographic
614572,Abbasium,,,geographic
