placeProvinceId,gazetteerId,placeName,pleiadesId,pleiadesName,latitude,longitude,provinceName,geojsonId,status,distanceKm
PP00053,GAZ00036,Bingio,108809,Bingium,49.968995,7.895659,GERMANIA I,93,MATCH,0.0
PP00054,GAZ00038,Bodobrica,108817,Bodobrica,50.230984,7.591936,GERMANIA I,93,MATCH,0.0
PP00055,GAZ00109,Mogontiaco,109169,Mogontiacum,49.993005,8.278026,GERMANIA I,93,MATCH,0.0
PP00056,GAZ00011,Aleto,69556,Aletum,48.635814,-2.027308,LUGDUNENSIS II,91,NEAR_MATCH,1.17
PP00057,GAZ00033,Baiocas,69471,Baiocas,49.275076,-0.706872,LUGDUNENSIS II,91,MATCH,0.0
PP00058,GAZ00121,Osismis,69511,Osismis,48.389734,-4.486847,LUGDUNENSIS II,91,MATCH,0.0
PP00059,GAZ00139,Sardis,550867,Sardis,38.488314,28.040286,LYDIA,32,MATCH,0.0
PP00060,GAZ00079,Friglas,275629,Friglas,34.96001,-6.150002,"MAURETANIA
TINGITANA",14,MATCH,0.0
PP00061,GAZ00014,Amidae,874298,Amida,37.911777,40.224033,MESOPOTAMIA,45,NEAR_MATCH,8.65
PP00062,GAZ00021,Appiaria,216707,Appiaria,43.987675,26.245621,"MOESIA
INFERIOR",74,MATCH,0.0
PP00063,GAZ00044,Candidiana,216896,Candidiana,44.063431,26.848302,"MOESIA
INFERIOR",74,MATCH,0.0
PP00064,GAZ00071,Dimo,216790,Dimum,43.64822,25.128306,"MOESIA
INFERIOR",74,MATCH,0.0
PP00065,GAZ00077,Durostoro,216800,Durostorum,44.117033,27.260732,"MOESIA
INFERIOR",74,MATCH,0.0
PP00066,GAZ00098,Marcianopoli,216878,Marcianopolis,43.22504,27.585033,"MOESIA
INFERIOR",74,MATCH,0.0
PP00067,GAZ00140,Securisca,216978,Securisca,43.702592,24.834372,"MOESIA
INFERIOR",74,MATCH,0.0
PP00068,GAZ00154,Tegra,217003,Tegra,43.920738,26.082325,"MOESIA
INFERIOR",74,MATCH,0.0
PP00069,GAZ00160,Transmariscae,217021,Transmarisca,44.044753,26.614532,"MOESIA
INFERIOR",74,MATCH,0.0
PP00070,GAZ00164,Trimammio,217023,Trimammium,43.708048,25.831077,"MOESIA
INFERIOR",74,MATCH,0.0
PP00071,GAZ00100,Margo,207267,Margum,44.69123,21.061748,"MOESIA
SUPERIOR",70,MATCH,0.0
PP00072,GAZ00143,Singiduno,207443,Singidunum,44.802382,20.465593,"MOESIA
SUPERIOR",70,MATCH,0.0
PP00073,GAZ00153,Tauruno,207488,Taurunum,44.835966,20.411502,"MOESIA
SUPERIOR",70,MATCH,0.0
PP00074,GAZ00163,Tricornio,207515,Tricornium,44.733229,20.649959,"MOESIA
SUPERIOR",70,MATCH,0.0
PP00075,GAZ00025,Arlape,118571,Arlape,48.211913,15.208959,"NORICUM
RIPENSE",89,MATCH,0.0
PP00076,GAZ00045,Cannabiaca,128375,Cannabiaca,48.329013,16.177392,"NORICUM
RIPENSE",89,MATCH,0.0
PP00077,GAZ00088,Ioviaco,118761,Ioviacum,48.424004,13.871117,"NORICUM
RIPENSE",89,MATCH,0.0
PP00078,GAZ00092,Lauriaco,118802,Lauriacum,48.220692,14.465958,"NORICUM
RIPENSE",89,MATCH,0.0
PP00079,GAZ00093,Lentiae,118803,Lentia,48.306072,14.286293,"NORICUM
RIPENSE",89,MATCH,0.0
PP00080,GAZ00169,Viennae siue Arelati,128537,Vienna,48.211345,16.373946,"NORICUM
RIPENSE",89,MATCH,0.0
PP00081,GAZ00090,Lapurdo,246461,Lapurdum,43.492723,-1.474944,"NOVEM
POPULI",66,MATCH,0.0
PP00082,GAZ00152,Tarba,246679,Tarba,43.23314,0.074264,"NOVEM
POPULI",66,MATCH,0.0
PP00083,GAZ00019,Apatna,894133,Apatna,35.379381,40.564031,OSRHOENE,37,NEAR_MATCH,3.51
PP00084,GAZ00042,Callinico,668318,Callinicum,35.972501,39.08287,OSRHOENE,37,MATCH,0.0
PP00085,GAZ00055,Circesio,893974,Circesium,35.334435,40.326381,OSRHOENE,37,MATCH,0.0
PP00086,GAZ00067,Dabana,658448,Dabana,36.663746,38.951714,OSRHOENE,37,MATCH,0.0
PP00087,GAZ00119,Oraba,874688,Oraba,36.244537,40.707477,OSRHOENE,37,NEAR_MATCH,3.74
PP00088,GAZ00008,Ailae,746700,Aila,29.796591,34.94276,PALAESTINA,11,MATCH,0.0
PP00089,GAZ00024,Arieldela,746715,Arieldela,30.08098,35.236212,PALAESTINA,11,MATCH,0.0
PP00090,GAZ00037,Birsama,687864,Birsama,31.26045,34.537078,PALAESTINA,11,MATCH,0.0
PP00091,GAZ00104,Menochiae,687964,Menochia,31.334516,34.399245,PALAESTINA,11,MATCH,0.0
PP00092,GAZ00137,Sabure siue Veterocariae,697750,Veterocaria,30.314037,35.385319,PALAESTINA,11,MATCH,0.0
PP00093,GAZ00159,Toloha,697755,Toloha,30.843214,35.406656,PALAESTINA,11,MATCH,0.0
PP00094,GAZ00174,Zoarae,697768,Zoara,31.02726,35.481813,PALAESTINA,11,MATCH,0.0
PP00095,GAZ00061,Cornaco,197227,Cornacum,45.295094,19.09733,"PANNONIA
INFERIOR",76,MATCH,0.0
PP00096,GAZ00112,Mursae,197389,Mursa,45.560018,18.675749,"PANNONIA
INFERIOR",76,MATCH,0.0
PP00097,GAZ00009,Ala Nova,128354,Ala Nova,48.141031,16.477115,"PANNONIA
SUPERIOR",86,MATCH,0.0
PP00098,GAZ00047,Carnunto,128376,Carnuntum,48.113346,16.867891,"PANNONIA
SUPERIOR",86,MATCH,0.0
PP00099,GAZ00063,Crumero,197232,Crumerum,47.758799,18.538585,"PANNONIA
SUPERIOR",86,MATCH,0.0
PP00100,GAZ00050,Chaszanenica,857137,Chaszanenica,40.761648,39.598493,"PONTUS
POLEMONIACUS",73,MATCH,0.0
PP00101,GAZ00072,Domana,857111,Domana,40.212239,39.651311,"PONTUS
POLEMONIACUS",73,MATCH,0.0
PP00102,GAZ00146,Speluncis,857332,Speluncis,40.292417,37.752633,"PONTUS
POLEMONIACUS",73,MATCH,0.0
PP00103,GAZ00161,Trapezunta,857359,Trapezus,41.002662,39.718172,"PONTUS
POLEMONIACUS",73,MATCH,0.0
PP00104,GAZ00172,Ysiporto,857291,Ysiporto,40.942435,40.039388,"PONTUS
POLEMONIACUS",73,NEAR_MATCH,1.3
PP00105,GAZ00002,Abusina,118539,Abusina,48.850022,11.77073,RAETIA,90,MATCH,0.0
PP00106,GAZ00085,Guntiae,118716,Guntia,48.454426,10.281491,RAETIA,90,NEAR_MATCH,18.54
PP00107,GAZ00125,Parroduno,118903,Parrodunum,48.70045,11.016986,RAETIA,90,MATCH,0.0
PP00108,GAZ00155,Teriolis,187581,Teriolis,47.273341,11.242145,RAETIA,90,MATCH,0.0
PP00109,GAZ00144,Sisciae,197504,Siscia,45.483168,16.371388,SAVIA,79,MATCH,0.0
PP00110,GAZ00027,Arubio,216712,Arubium,45.253041,28.137099,SCYTHIA,81,MATCH,0.0
PP00111,GAZ00052,Cii,216770,Cius,44.77792,28.09352,SCYTHIA,81,MATCH,0.0
PP00112,GAZ00078,Flaviana,216811,Flaviana,44.24818,27.948318,SCYTHIA,81,MATCH,0.0
PP00113,GAZ00084,Gratiana,226611,Gratiana,45.036639,29.161736,SCYTHIA,81,MATCH,0.0
PP00114,GAZ00003,Acadama,668177,Acadama,35.083196,38.423851,SYRIA COELE,26,MATCH,0.0
PP00115,GAZ00015,Ammattha,668183,Ammattha,35.684651,37.65125,SYRIA COELE,26,MATCH,0.0
PP00116,GAZ00017,Anatha,668196,Anatha,34.671287,38.582516,SYRIA COELE,26,MATCH,0.0
