placeId,placeName,nodeType,office,unit,chapter,document
PLC00600,Sexagintaprista,cuneus,,Cuneus equitum armigerorum,Dux Moesiae secundae,Oriens
PLC00616,Sexagintaprista,unknown,Praefectus,ripae legionis primae Italicae cohortis quintae pedaturae inferioris,Dux Moesiae secundae,Oriens
PLC00034,Siciliae,civil,,Procurator bafii Syracusani,Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00412,Silili,cohort,,Cohors prima Apamenorum,Dux Thebaidos,Oriens
PLC00557,Siluanis,ala,,Ala felix Theodosiana,Dux Armeniae,Oriens
PLC00497,Sina Iudaeorum,equites,,Equites promoti indigenae,Dux Osrhoenae,Oriens
PLC00640,Singiduno,unknown,Praefectus,legionis quartae Flaviae,Dux Moesiae primae,Oriens
PLC00055,singulos ex officiis supradictis,unknown,,Numerarios duos,Comes Tingitaniae,Occidentis
PLC00066,singulos ex officiis suprascriptis,unknown,,Numerarios duos,Dux et praeses provinciae Mauritaniae,Occidentis
PLC00065,singulos ex utrisque officiis suprascriptis,unknown,,Numerarios duos,Comes Britanniae,Occidentis
PLC00675,Siosta,unknown,Tribunus,cohortis secundorum reducum,Dux Daciae ripensis,Oriens
PLC00098,Sirmi,ala,,Ala Sirmensis,Dux Pannoniae,Occidentis
PLC00094,Sirmi,unknown,Praefectus,classis primae Flaviae Augustae,Dux Pannoniae,Occidentis
PLC00093,Sirmi,unknown,Praefectus,militum Calcariensium,Dux Pannoniae,Occidentis
PLC00101,Sisciae,unknown,Tribunus,cohortis tertiae Alpinorum,Dux Pannoniae,Occidentis
PLC00565,Sisila,cohort,,Cohors miliaria Germanorum,Dux Armeniae,Oriens
PLC00111,Solua,equites,,Equites Mauri,Dux provinciae Valeriae,Occidentis
PLC00104,Solue,cuneus,,Cuneus equitum scutatorum,Dux provinciae Valeriae,Occidentis
PLC00364,Sosteos,ala,,Ala secunda Assyriorum,Comes limitis Aegypti,Oriens
PLC00533,Speluncis,equites,,Equites promoti indigenae,Dux Arabiae,Oriens
PLC00622,sub Radice - Viamata,cohort,,Cohors prima Aureliana,Dux Moesiae secundae,Oriens
PLC00177,Submuntorio,equites,,Equites stablesiani iuniores,Dux Raetiae,Occidentis
PLC00179,Submuntorio,unknown,Praefectus,legionis tertiae Italicae partis superioris deputatae ripae primae,Dux Raetiae,Occidentis
PLC00674,Sucidaua,unknown,Praefectus,legionis quintae Macedonicae,Dux Daciae ripensis,Oriens
PLC00603,Sucidaua,cuneus,,Cuneus equitum stablesianorum,Dux Moesiae secundae,Oriens
PLC00417,Suene,cohort,,Cohors quinta Suentium,Dux Thebaidos,Oriens
PLC00560,Suissa,ala,,Ala prima Ulpia Dacorum,Dux Armeniae,Oriens
PLC00457,Sura,unknown,Praefectus,legionis sextaedecimae Flaviae firmae,Dux Syriae,Oriens
PLC00388,Syene,milites,,Milites Miliarenses,Dux Thebaidos,Oriens
PLC00052,Tabernas,unknown,Tribunus,cohortis tertiae Asturum,Comes Tingitaniae,Occidentis
PLC00249,Tabernis,unknown,Praefectus,militum Menapiorum,Dux Mogontiacensis,Occidentis
PLC00369,Tacasiria,ala,,Ala secunda Aegyptiorum,Comes limitis Aegypti,Oriens
PLC00580,Talamonio,cuneus,,Cuneus equitum Arcadum,Dux Scythiae,Oriens
PLC00638,Taliata,auxilia,,Auxilium Taliatense,Dux Moesiae primae,Oriens
PLC00644,Taliatae,unknown,Praefectus,militum exploratorum,Dux Moesiae primae,Oriens
PLC00046,Tamuco,unknown,Praefectus,alae Herculeae,Comes Tingitaniae,Occidentis
PLC00484,Tarba,cohort,,Cohors prima agentenaria,Dux Palaestinae,Oriens
PLC00293,Taurinis,unknown,Praefectus,Sarmatarum gentilium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00083,Tauruno,equites,,Equites promoti,Dux Pannoniae,Occidentis
PLC00088,Tauruno siue Marsonia,auxilia,,Auxilia ascarii,Dux Pannoniae,Occidentis
PLC00610,Teglicio,milites,,Milites Moesiaci,Dux Moesiae secundae,Oriens
PLC00601,Tegra,cuneus,,Cuneus equitum secundorum armigerorum,Dux Moesiae secundae,Oriens
PLC00380,Tentira,equites,,Equites sagittarii indigenae,Dux Thebaidos,Oriens
PLC00192,Teriolis,unknown,Tribunus,gentis per Raetias deputatae,Dux Raetiae,Occidentis
PLC00183,Teriolis,unknown,Praefectus,legionis tertiae Italicae transvectioni specierum deputatae,Dux Raetiae,Occidentis
PLC00075,Teutibarcio,equites,,Equites promoti,Dux Pannoniae,Occidentis
PLC00068,Teutiborgio,cuneus,,Cuneus equitum Dalmatarum,Dux Pannoniae,Occidentis
PLC00091,Teutiborgio,unknown,Praefectus,legionis sextae Herculeae,Dux Pannoniae,Occidentis
PLC00543,Thainatha,ala,,Ala prima Valentiana,Dux Arabiae,Oriens
PLC00445,Thama,cohort,,Cohors prima Orientalis,Dux Foenicis,Oriens
PLC00490,Thamana,cohort,,Cohors quarta Palaestinorum,Dux Palaestinae,Oriens
PLC00521,Thannuri,equites,,Equites sagittarii indigenae,Dux Mesopotamiae,Oriens
PLC00368,Thaubasteos,ala,,Ala secunda Ulpia Afrorum,Comes limitis Aegypti,Oriens
PLC00391,Thebas,legion,,Legio tertia Diocletiana,Dux Thebaidos,Oriens
PLC00430,Thelsee,equites,,Equites Saraceni,Dux Foenicis,Oriens
PLC00355,Thenenuthi,ala,,Ala tertia Arabum,Comes limitis Aegypti,Oriens
PLC00410,Theraco,unknown,,;Cohors prima Lusitanorum,Dux Thebaidos,Oriens
PLC00520,Thilbisme,equites,,Equites sagittarii indigenae Thibithenses,Dux Mesopotamiae,Oriens
PLC00509,Thillaamana,cohort,,Cohors prima Gaetulorum,Dux Osrhoenae,Oriens
PLC00504,Thillacama,ala,,Ala septima Valeria praelectorum,Dux Osrhoenae,Oriens
PLC00506,Thillafica,ala,,Ala secunda Paflagonum,Dux Osrhoenae,Oriens
PLC00499,Thillazamana,equites,,Equites sagittarii indigenae,Dux Osrhoenae,Oriens
PLC00362,Thinunepis,ala,,Ala prima Tingitana,Comes limitis Aegypti,Oriens
PLC00398,Thmou,ala,,Ala prima Hiberorum,Dux Thebaidos,Oriens
PLC00371,Tohu,cohort,,Cohors prima Augusta Pannoniorum,Comes limitis Aegypti,Oriens
PLC00479,Toloha,ala,,Ala Constantiana,Dux Palaestinae,Oriens
PLC00505,Touia -contra Bintha,ala,,Ala prima Victoriae,Dux Osrhoenae,Oriens
PLC00659,Transalba,auxilia,,Auxilium Miliarensium,Dux Daciae ripensis,Oriens
PLC00665,Transdiernis,unknown,Praefectus,militum exploratorum,Dux Daciae ripensis,Oriens
PLC00670,Transdrobeta,unknown,Praefectus,legionis tertiaedecimae geminae,Dux Daciae ripensis,Oriens
PLC00145,Transiacinco,unknown,Praefectus,legionis,Dux provinciae Valeriae,Occidentis
PLC00663,Transluco,auxilia,,Auxilium Claustrinorum,Dux Daciae ripensis,Oriens
PLC00608,Transmariscae,milites,,Milites Novenses,Dux Moesiae secundae,Oriens
PLC00619,Transmariscae,unknown,Praefectus,ripae legionis undecimae Claudiae cohortis quintae pedaturae inferioris,Dux Moesiae secundae,Oriens
PLC00618,Transmariscae,unknown,Praefectus,ripae legionis undecimae Claudiae cohortis quintae pedaturae superioris,Dux Moesiae secundae,Oriens
PLC00554,Trapezunta,unknown,Praefectus,legionis primae Ponticae,Dux Armeniae,Oriens
PLC00530,Tricomia,equites,,Equites promoti Illyriciani,Dux Arabiae,Oriens
PLC00633,Tricornio,auxilia,,Auxiliares Tricornienses,Dux Moesiae primae,Oriens
PLC00639,Tricornio,auxilia,,Auxilium Aureomontanum,Dux Moesiae primae,Oriens
PLC00626,Tricornio,cuneus,,Cuneus equtum sagittariorum,Dux Moesiae primae,Oriens
PLC00605,Trimammio,milites,,Milites Constantini,Dux Moesiae secundae,Oriens
PLC00584,Trosmis,milites,,Milites secundi Constantini,Dux Scythiae,Oriens
PLC00589,Trosmis,unknown,Praefectus,legionis secundae Herculiae,Dux Scythiae,Oriens
PLC00242,Tunnocelo,unknown,Tribunus,cohortis primae Aeliae classicae,Dux Britanniarum,Occidentis
PLC00547,Ualtha,cohort,,Cohors octava voluntaria,Dux Arabiae,Oriens
PLC00621,Ulucitra,cohort,,Cohors quarta Gallorum,Dux Moesiae secundae,Oriens
PLC00658,Uto,cuneus,,Cuneus equitum Constantinianorum,Dux Daciae ripensis,Oriens
PLC00443,Vale Alba,cohort,,Cohors prima Iulia lectorum,Dux Foenicis,Oriens
PLC00568,Valentia,cohort,,Cohors prima Theodosiana,Dux Armeniae,Oriens
PLC00187,Vallatio,unknown,Praefectus,alae secundae Valeriae singularis,Dux Raetiae,Occidentis
PLC00444,Valle Diocletiana,cohort,,Cohors secunda Aegyptiorum,Dux Foenicis,Oriens
PLC00253,Vangiones,unknown,Praefectus,militum secundae Flaviae,Dux Mogontiacensis,Occidentis
PLC00655,Varina,cuneus,,Cuneus equitum Dalmatarum,Dux Daciae ripensis,Oriens
PLC00666,Variniana,unknown,Praefectus,legionis quintae Macedonicae,Dux Daciae ripensis,Oriens
PLC00276,Veleia,unknown,Tribunus,cohortis primae Gallicae,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00188,Venaxamodorum,unknown,Tribunus,cohortis sextae Valeriaae Raetorum,Dux Raetiae,Occidentis
PLC00017,Venetiae,unknown,Praepositus,thesaurorum Aquileiensium,Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00033,Venetiae et Histriae,civil,,Procurator bafii Cissensis,Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00022,Venetiae inferioris,civil,,Procurator gynaecii Aquileiensis,Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00441,Veranoca,cohort,,Cohors tetria Herculia,Dux Foenicis,Oriens
PLC00296,Vercellis,unknown,Praefectus,Sarmatarum gentilium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00435,Veriaraca,ala,,Ala noun Diocletiana,Dux Foenicis,Oriens
PLC00438,Verofabula,ala,,Ala prima Saxonum,Dux Foenicis,Oriens
PLC00218,Verteris,unknown,Praefectus,numeri directorum,Dux Britanniarum,Occidentis
PLC00117,Vetusalinae,equites,,Equites Dalmatae,Dux provinciae Valeriae,Occidentis
PLC00250,Vico Iulio,unknown,Praefectus,militum Anderetianorum,Dux Mogontiacensis,Occidentis
PLC00264,Viennae siue Arelati,unknown,Praefectus,classis fluminis Rhodani,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00194,Vimania,unknown,Praefectus,alae secundae Valeriae Sequanorum,Dux Raetiae,Occidentis
PLC00628,Viminacio,cuneus,,Cuneus equtum promotorum,Dux Moesiae primae,Oriens
PLC00647,Viminacio,unknown,Praefectus,classis Histricae,Dux Moesiae primae,Oriens
PLC00139,Vincentiae,unknown,Tribunus,cohortis,Dux provinciae Valeriae,Occidentis
PLC00227,Vindobala,unknown,Tribunus,cohortis primae Frixagorum,Dux Britanniarum,Occidentis
PLC00232,Vindolana,unknown,Tribunus,cohortis quartae Gallorum,Dux Britanniarum,Occidentis
PLC00156,Vindomarae,unknown,Praefectus,legionis decimae geminae,Dux Pannoniae primae,Occidentis
PLC00247,Virosido,unknown,Tribunus,cohortis sextae Neruiorum,Dux Britanniarum,Occidentis
PLC00569,Ysiporto,cohort,,Cohors Apuleia civium Romanorum,Dux Armeniae,Oriens
PLC00672,Zernis,unknown,Praefectus,legionis tertiaedecimae geminae,Dux Daciae ripensis,Oriens
PLC00572,Ziganne,cohort,,Cohors secunda Valentiana,Dux Armeniae,Oriens
PLC00531,Ziza,equites,,Equites Dalmatae Illyriciani,Dux Arabiae,Oriens
PLC00646,Zmirnae,unknown,Praefectus,militum exploratorum,Dux Moesiae primae,Oriens
PLC00472,Zoarae,equites,,Equites sagittarii indigenae,Dux Palaestinae,Oriens
PLC00470,Zodocathae,equites,,Equites promiti indigenae,Dux Palaestinae,Oriens
