placeId,placeName,nodeType,office,unit,chapter,document
PLC00234,Magnis,unknown,Tribunus,cohortis secundae Dalmatarum,Dux Britanniarum,Occidentis
PLC00528,Maiocariri,cohort,,Cohors quartadecima Valeria Zabdenorum,Dux Mesopotamiae,Oriens
PLC00202,Mannatias,unknown,Praefectus,militum superventorum,Dux tractus Armoricani,Occidentis
PLC00510,Maratha,cohort,,Cohors prima Eufratensis,Dux Osrhoenae,Oriens
PLC00325,Marcianopoli,unknown,,Scutaria et armorum,Insignia viri illustris magistri officiorum,Oriens
PLC00208,Marcis in litore Saxonico,equites,,Equites Dalmatae,Dux Belgicae secundae,Occidentis
PLC00635,Margo,auxilia,,Auxilium Margense,Dux Moesiae primae,Oriens
PLC00648,Margo,unknown,Praefectus,classis Stradensis et Germensis,Dux Moesiae primae,Oriens
PLC00144,Marinanae,unknown,Tribunus,cohortis,Dux provinciae Valeriae,Occidentis
PLC00462,Marmantharum,cohort,,Cohors tertia Valeria,Dux Syriae,Oriens
PLC00266,Massiliae Graecorum,unknown,Praefectus,militum musculariorum,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00116,Matrice,equites,,Equites promoti,Dux provinciae Valeriae,Occidentis
PLC00448,Matthana,equites,,Equites sagittarii indigenae,Dux Syriae,Oriens
PLC00400,Maximianopoli,ala,,Ala tertia dromedariorum,Dux Thebaidos,Oriens
PLC00384,Maximianopoli,equites,,Equites sagittarii indigenae,Dux Thebaidos,Oriens
PLC00500,Mediana,equites,,Equites sagittarii indigenae Medianenses,Dux Osrhoenae,Oriens
PLC00606,Mediolana,milites,,Milites Dacisci,Dux Moesiae secundae,Oriens
PLC00534,Mefa,equites,,Equites promoti indigenae,Dux Arabiae,Oriens
PLC00518,Mefana - Cartha,equites,,Equites sagittarii indigenae Arabanenses,Dux Mesopotamiae,Oriens
PLC00553,Melitena,unknown,Praefectus,legionis duodecimae fulminatae,Dux Armeniae,Oriens
PLC00348,Memfi,legion,,Legio quinta Macadonica,Comes limitis Aegypti,Oriens
PLC00465,Menochiae,equites,,Equites promoti Illyriciani,Dux Palaestinae,Oriens
PLC00562,Metita,cohort,,Cohors tertia Ulpia miliaria Petraeorum,Dux Armeniae,Oriens
PLC00263,Miseno,unknown,Praefectus,classis Misenatium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00475,Moahile,equites,,Equites sagittarii indigenae,Dux Palaestinae,Oriens
PLC00573,Mochora,cohort,,Cohors,Dux Armeniae,Oriens
PLC00254,Mogontiaco,unknown,Praefectus,militum armigerorum,Dux Mogontiacensis,Occidentis
PLC00489,Moleaatha,cohort,,Cohors prima Flavia,Dux Palaestinae,Oriens
PLC00434,Monte Iovis,ala,,Ala prima Damascena,Dux Foenicis,Oriens
PLC00213,Morbio,unknown,Praefectus,equitum catafractariorum,Dux Britanniarum,Occidentis
PLC00529,Motha,equites,,Equites scutarii Illyriciani,Dux Arabiae,Oriens
PLC00096,Mursae,unknown,Praefectus,classis Histricae,Dux Pannoniae,Occidentis
PLC00375,Muson,cohort,,Cohors secunda Thracum,Comes limitis Aegypti,Oriens
PLC00411,Mutheos,cohort,,Cohors scutata civium Romanorum,Dux Thebaidos,Oriens
PLC00542,Naarsafari,ala,,Ala secunda Miliarensis,Dux Arabiae,Oriens
PLC00370,Naithu,cohort,,Cohors prima sagittariorum,Comes limitis Aegypti,Oriens
PLC00376,Narmunthi,cohort,,Cohors quarta Numidarum,Comes limitis Aegypti,Oriens
PLC00425,Nazala,equites,,Equites promoti indigenae,Dux Foenicis,Oriens
PLC00356,Nee,ala,,Ala octava Vandilorum,Comes limitis Aegypti,Oriens
PLC00437,Neia,ala,,Ala prima Alamannorum,Dux Foenicis,Oriens
PLC00251,Nemetis,unknown,Praefectus,militum vindicum,Dux Mogontiacensis,Occidentis
PLC00455,Neocaesereae,equites,,Equites Mauri Illyriciani,Dux Syriae,Oriens
PLC00322,Nicomediae,unknown,,Clibanaria,Insignia viri illustris magistri officiorum,Oriens
PLC00321,Nicomediae,unknown,,Scutaria et armorum,Insignia viri illustris magistri officiorum,Oriens
PLC00414,Nitnu,cohort,,Cohors nona Tzanorum,Dux Thebaidos,Oriens
PLC00012,Norici mediterranei et ripensis,civil,,"Rationalis summarum Pannoniae prima, Valeriae",Insignia viri illustris comitis sacrarum largitionum,Occidentis
