placeId,sourceNodeId,occurrenceId,placeName,pleiadesId,pleiadesName,latitude,longitude,featureType,document,chapter,office,unit,sourceLine,matchType,confidence,contextStatus,gisProvince,expectedProvince,hardProvince,softProvince,region
OCC000032,,OCC000032,Triberorum,108894,Col. Augusta Treverorum,49.753731,6.646217,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,thesaurorum Triberorum,787,REGION_EXACT,confirmed,REGION_MATCH,BELGICA I,,,,GALLIAE
OCC000033,,OCC000033,Augustensium,79574,Augusta,51.513335,-0.088949,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,thesaurorum Augustensium,789,CONTEXT_EXACT,confirmed,HARD_MATCH,BRITANNIAE I AND II,Britanniis,Britanniis,,BRITANNIA
OCC000034,,OCC000034,Siscianae,197504,Siscia,45.483168,16.371388,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,monetae Siscianae,791,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,SAVIA,,,,
OCC000035,,OCC000035,Aquileiensis,187290,Aquileia,45.768259,13.364601,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,monetae Aquileiensis,792,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,VENETIA ET HISTRIA,,,,
OCC000036,,OCC000036,Romae,423025,Roma,41.8917,12.4862,temple-2,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,monetae urbis Romae,793,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,TUSCIA ET UMBRIA,,,,
OCC000037,,OCC000037,Lugdunensis,167717,Col. Lugdunum,45.75863,4.819486,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,monetae Lugdunensis,794,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,LUGDUNENSIS I,,,,
OCC000038,,OCC000038,Arelatensis,148217,Col. Arelate,43.677616,4.630799,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,monetae Arelatensis,795,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,VIENNENSIS,,,,
OCC000039,,OCC000039,Triberorum,108894,Col. Augusta Treverorum,49.753731,6.646217,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,monetae Triberorum,796,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,BELGICA I,,,,
OCC000045,,OCC000045,Aquileiensis,187290,Aquileia,45.768259,13.364601,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,gynaecii Aquileiensis,801,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,VENETIA ET HISTRIA,Venetiae inferioris,Venetiae inferioris,,
OCC000046,,OCC000046,Mediolanensis,383706,Mediolanum,45.463746,9.18806,settlement;urban,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,gynaecii Mediolanensis,802,CONTEXT_EXACT,confirmed,HARD_MATCH,AEMILIA ET LIGURIA,Liguriae,Liguriae,,
OCC000047,,OCC000047,Romae,423025,Roma,41.8917,12.4862,temple-2,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,gynaecii urbis Romae,803,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,TUSCIA ET UMBRIA,,,,
OCC000048,,OCC000048,Canusini,442525,Canusium,41.2225,16.066004,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,gynaecii Canusini et Venusini,804,,confirmed,HARD_MATCH,APULIA ET CALABRIA,Apuliae,Apuliae,,
OCC000050,,OCC000050,Carthagiensis,314921,Carthago,36.847009,10.312944,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,gynaecii Carthagiensis,805,REGION_EXACT,confirmed,REGION_MATCH,AFRICA PROCONSULARIS,,,,AFRICA
OCC000052,,OCC000052,Lugdunensis,167717,Col. Lugdunum,45.75863,4.819486,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,gynaecii Lugdunensis,807,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,LUGDUNENSIS I,,,,
OCC000053,,OCC000053,Remensis,108945,Durocortorum,49.254104,4.032504,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,gynaecii Remensis,808,CONTEXT_EXACT,confirmed,HARD_MATCH,BELGICA II,Belgicae secundae,Belgicae secundae,,
OCC000054,,OCC000054,Triberorum,108894,Col. Augusta Treverorum,49.753731,6.646217,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,gynaecii Triberorum,809,CONTEXT_EXACT,confirmed,HARD_MATCH,BELGICA I,Belgicae primae,Belgicae primae,,
OCC000055,,OCC000055,Augustoduno,177460,Augustodunum,46.949448,4.299314,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,gynaecii Augustoduno translati Mettis,810,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,LUGDUNENSIS I,,,,
