placeName,candidate,candidateType,chapter,document,office,unit
Oasi minore - Trimtheos,Oasi minore,Place,Dux Thebaidos,Oriens,,Ala prima Quadorum
Occariba,Occariba,Place,Dux Syriae,Oriens,,Equites promoti Illyriciani
Odiabo,Odiabo,Place,Dux provinciae Valeriae,Occidentis,,Equites Dalmatae
Oesco,Oesco,Place,Dux Daciae ripensis,Oriens,,Auxilium Mariensium
Oesco,Oesco,Place,Dux Daciae ripensis,Oriens,Praefectus,legionis quintae Macedonicae
Olenaco,Olenaco,Place,Dux Britanniarum,Occidentis,Praefectus,alae primae Herculeae
Olitione,Olitione,Place,Dux provinciae Sequanici,Occidentis,,Milites Latavienses
operum alter,operum alter,Place,Insignia viri illustris praefecti praetorio per Illyricum,Oriens,,Numerarii quatuor; in his auri unus
Opittergii,Opittergii,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
or the legiones,or the legiones,Place,Qui numeri ex praedictis per infrascriptas provincias habeantur:,Occidentis,,Constantiniani.[same as Constantiaci
Othonae,Othonae,Place,Comes litoris Saxonici per Britanniam,Occidentis,Praepositus,numeri Fortensium
Paetaonio,Paetaonio,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Tribunus,cohortis secundae Flaviae Pacatianae
Palmira,Palmira,Place,Dux Foenicis,Oriens,Praefectus,legionis primae Illyricorum
Pampane,Pampane,Place,Dux Thebaidos,Oriens,,Ala prima Iovia catafractariorum
Pannoniae primae,Pannoniae primae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,Praepositus,thesaurorum Sabariensium
Pannoniae secundae,Pannoniae secundae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator gynaecii Sirmensis
Pannoniae secundae - translati Salonis,Pannoniae secundae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator gynaecii Bassianensis
Parisius,Parisius,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,classis Anderetianorum
Parroduno,Parroduno,Place,Dux Raetiae,Occidentis,Tribunus,cohortis primae Herculeae Raetorum
Patauio,Patauio,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Peamu,Peamu,Place,Dux Thebaidos,Oriens,,Cohors undecima Chamauorum
Pelusio,Pelusio,Place,Comes limitis Aegypti,Oriens,,Equites stablesiani
Pescla,Pescla,Place,Dux Thebaidos,Oriens,,Ala Germanorum
Petrianis,Petrianis,Place,Dux Britanniarum,Occidentis,Praefectus,alae Petrianae
Pictavis,Pictavis,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum et Taifalorum gentilium
Pinco,Pinco,Place,Dux Moesiae primae,Oriens,,Cuneus equtum Constantacorum
Pinco,Pinco,Place,Dux Moesiae primae,Oriens,,Cuneus equtum Dalmatarum
Pinianis,Pinianis,Place,Dux Raetiae,Occidentis,Tribunus,cohortis quintae Valeriae Frygum
Poisrietemidos,Poisrietemidos,Place,Dux Thebaidos,Oriens,,Ala secunda Hispanorum
Ponte Aeli,Ponte Aeli,Place,Dux Britanniarum,Occidentis,Tribunus,cohortis primae Cornoviorum
Scythiam et Pontum,Pontum,Place,Insignia viri illustris comitis largitionum,Oriens,,per Moesiam
Portu Epatiaci,Portu Epatiaci,Place,Dux Belgicae secundae,Occidentis,Tribunus,militum Neruiorum
Portum Adurni,Portum Adurni,Place,Comes litoris Saxonici per Britanniam,Occidentis,Praepositus,numeri exploratorum
Precteos,Precteos,Place,Dux Thebaidos,Oriens,,Ala prima Valeria dromedariorum
Procolitia,Procolitia,Place,Dux Britanniarum,Occidentis,Tribunus,cohortis primae Batavorum
provinciae Tripolitanae,provinciae Tripolitanae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator bafii Girbitani
provinciae Viennensis,provinciae Viennensis,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator gynaecii Arelatiensis
Quadratis et Eporizio,Quadratis,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Quadrato,Quadrato,Place,Dux Pannoniae primae,Occidentis,,Equites Mauri
quadriborgio,quadriborgio,Place,Dux provinciae Valeriae,Occidentis,Tribunus,cohortis
Quadriburgio,Quadriburgio,Place,Dux Pannoniae primae,Occidentis,,Equites sagittarii
quam civilium,quam civilium,Place,Primicerius notariorum,Oriens,,"Omnis dignitatum et amministrationum notitia, tam militarium"
qui adorata clementia principali cum insignibus exit transacto biennio,qui adorata clementia principali cum insignibus exit transacto biennio,Place,Proconsul Achaiae,Oriens,,Principem de scola agentum in rebus ducenarium
qui adorata clementia principalis cum insignibus exit,qui adorata clementia principalis cum insignibus exit,Place,Comes limitis Aegypti,Oriens,,Principem de scola agentum in rebus ducenarium
qui completa militia adorat protector,qui completa militia adorat protector,Place,Dux Moesiae primae,Oriens,,Principem de eodem officio
qui completa militia adorat protector,qui completa militia adorat protector,Place,Dux Moesiae secundae,Oriens,,Principem de eodem officio
qui completa militia adorat protector,qui completa militia adorat protector,Place,Dux Scythiae,Oriens,,Principem de eodem officio
qui completa militia adoratÝprotector,qui completa militia adoratÝprotector,Place,Dux Daciae ripensis,Oriens,,Principem de eodem officio
qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit,qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit,Place,Comes Orientis,Oriens,,Principem
qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit,qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit,Place,Praefectus Augustalis,Oriens,,Principem
qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit,qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit,Place,Vicarius dioceseos Asianae,Oriens,,Principem
qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit transacto biennio,qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit transacto biennio,Place,Vicarius dioceseos Ponticae,Oriens,,Principem
qui de scola agentum in rebus est,qui de scola agentum in rebus est,Place,Vicarius dioceseos Thraciarum,Oriens,,Principem
qui numerarii fiunt,qui numerarii fiunt,Place,Insignia viri illustris magisteri militum per Thracias,Oriens,,Primiscrinios
qui numerarii fiunt,qui numerarii fiunt,Place,Insignia viri illustris magistri militum per Illyricum,Oriens,,Primiscrinios
qui Numerarii fiunt,qui Numerarii fiunt,Place,Insignia viri illustris magistri militum praesentalis,Oriens,,Primiscrinios
qui numerarii fiunt,qui numerarii fiunt,Place,Insignia viri illustris magistri militum praesentalis,Oriens,,Primiscrinios
qui primicerius est exceptorum,qui primicerius est exceptorum,Place,Insignia viri illustris comitis largitionum,Oriens,,Secundocerium offici
qui primicerius est exceptorum,qui primicerius est exceptorum,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Secundicerium officii
quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,Place,Consularis Campaniae,Occidentis,,Exceptores et reliquos cohortalinos
quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,Place,Consularis Palaestinae,Oriens,,Exceptores et ceteros cohortalinos
quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,Place,Corrector Apuliae et Calabriae,Occidentis,,Exceptores et ceteros cohortalinos
quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,Place,Praeses Dalmatiae,Occidentis,,Exceptores et reliquos cohortalinos
quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,Place,Praeses Thebaidos,Oriens,,Exceptores et ceteros cohortalinos
Quintanis,Quintanis,Place,Dux Raetiae,Occidentis,Praefectus,alae primae Flaviae Raetorum
Raetiae secundae,Raetiae secundae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,Praepositus,thesaurorum Augustae Vindelicensis
Ravennae,Ravennae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,classis Ravennatium cum curis eiusdem civitatis
Ravennae,Ravennae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,militum iuniorum Italicorum
Redonas Lugdensis tertiae,Redonas Lugdensis tertiae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,laetorum Francorum
Regionis Samnitis,Regionis Samnitis,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Regulbio,Regulbio,Place,Comes litoris Saxonici per Britanniam,Occidentis,Tribunus,cohortis primae Baetasiorum
Remo et Silvanectas Belgicae secundae,Remo,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,laetorum gentilium
Resaia,Resaia,Place,Dux Osrhoenae,Oriens,,Ala prima Parthorum
Resain - Theodosiopoli,Resain,Place,Dux Mesopotamiae,Oriens,,Equites promoti Illyriciani
Ricti,Ricti,Place,Dux Pannoniae,Occidentis,,Equites Dalmatae
Rinocoruna,Rinocoruna,Place,Comes limitis Aegypti,Oriens,,Ala veterana Gallorum
Ripa Alta,Ripa Alta,Place,Dux provinciae Valeriae,Occidentis,,Equites Dalmatae
Norici mediterranei et ripensis,ripensis,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,"Rationalis summarum Pannoniae prima, Valeriae"
Rosafa,Rosafa,Place,Dux Syriae,Oriens,,Equites promoti indigenae
Rotomago,Rotomago,Place,Dux tractus Armoricani,Occidentis,Praefectus,militum Ursariensium
Rutupis,Rutupis,Place,Comes litoris Saxonici per Britanniam,Occidentis,Praefectus,legionis secundae Augustae
Sabaiae,Sabaiae,Place,Dux Palaestinae,Oriens,,Equites promiti indigenae
Sabbu,Sabbu,Place,Dux Armeniae,Oriens,,Equites sagittarii
Sacidaua,Sacidaua,Place,Dux Scythiae,Oriens,,Cuneus equitum scutariorum
Saletione,Saletione,Place,Dux Mogontiacensis,Occidentis,Praefectus,militum Pacensium
Salsouia,Salsouia,Place,Dux Scythiae,Oriens,,Milites quinti Constantini
Salutaria,Salutaria,Place,Dux Syriae,Oriens,,Ala prima Iuthungorum
Saradiniae et Corsicae,Saradiniae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,"Rationalis summarum Trum provinciarum, id est Siciliae"
Sardis Lydiae,Sardis Lydiae,Place,Insignia viri illustris magistri officiorum,Oriens,,Scutaria et armorum
Dalmatiae et Saviae,Saviae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Rationalis summarum Pannoniae secundae
Saviae,Saviae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,Praepositus,thesaurorum Siscianorum
Scenas extra Gerasa,Scenas extra Gerasa,Place,Comes limitis Aegypti,Oriens,,Ala prima Herculia
Scenas Mandrorum,Scenas Mandrorum,Place,Comes limitis Aegypti,Oriens,,Ala septima Sarmatarum
Scenas Ueteranorum,Scenas Ueteranorum,Place,Comes limitis Aegypti,Oriens,,Equites Saraceni Thamudeni
Scenas Veteranorum,Scenas Veteranorum,Place,Comes limitis Aegypti,Oriens,,Ala quinta Raetorum
scordiscorum et armorum,scordiscorum,Place,Insignia viri illustris magistri officiorum,Occidentis,,Sirmensis scutorum
Scythiam et Pontum,Scythiam,Place,Insignia viri illustris comitis largitionum,Oriens,,per Moesiam
Secundarum,Secundarum,Place,Dux Pannoniae,Occidentis,,Cuneus equitum Italicianorum
sed adiutorem de scola notariorum,sed adiutorem de scola notariorum,Place,Primicerius notariorum,Oriens,,Officium autem non habet
sed adiutores de scriniis quos voluerit,sed adiutores de scriniis quos voluerit,Place,Insignia viri illustris quaestoris,Oriens,,Officium non habet
sed adiutores electos de scriniis,sed adiutores electos de scriniis,Place,Magistri scriniorum. MemoriaeÝÝ EpistolarumÝÝ LibellorumÝÝ Graecarum,Oriens,,Officium autem de ipsi nemo habet
Segeduno,Segeduno,Place,Dux Britanniarum,Occidentis,Tribunus,cohortis quartae Lingonum
Selle,Selle,Place,Comes limitis Aegypti,Oriens,,Ala prima Aegyptiorum
Serianae,Serianae,Place,Dux Syriae,Oriens,,Equites scutarii Illyriciani
Seruitii,Seruitii,Place,Dux Pannoniae,Occidentis,Praefectus,classis primae Pannonicae
Sexagintaprista,Sexagintaprista,Place,Dux Moesiae secundae,Oriens,,Cuneus equitum armigerorum
Sexagintaprista,Sexagintaprista,Place,Dux Moesiae secundae,Oriens,Praefectus,ripae legionis primae Italicae cohortis quintae pedaturae inferioris
Siciliae,Siciliae,Province,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator bafii Syracusani
Siluanis,Siluanis,Place,Dux Armeniae,Oriens,,Ala felix Theodosiana
Remo et Silvanectas Belgicae secundae,Silvanectas Belgicae secundae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,laetorum gentilium
Singiduno,Singiduno,Place,Dux Moesiae primae,Oriens,Praefectus,legionis quartae Flaviae
Siosta,Siosta,Place,Dux Daciae ripensis,Oriens,Tribunus,cohortis secundorum reducum
Sirmi,Sirmi,Place,Dux Pannoniae,Occidentis,,Ala Sirmensis
Sirmi,Sirmi,Place,Dux Pannoniae,Occidentis,Praefectus,classis primae Flaviae Augustae
Sirmi,Sirmi,Place,Dux Pannoniae,Occidentis,Praefectus,militum Calcariensium
Sisciae,Sisciae,Place,Dux Pannoniae,Occidentis,Tribunus,cohortis tertiae Alpinorum
Solua,Solua,Place,Dux provinciae Valeriae,Occidentis,,Equites Mauri
Solue,Solue,Place,Dux provinciae Valeriae,Occidentis,,Cuneus equitum scutatorum
Sosteos,Sosteos,Place,Comes limitis Aegypti,Oriens,,Ala secunda Assyriorum
Submuntorio,Submuntorio,Place,Dux Raetiae,Occidentis,,Equites stablesiani iuniores
Submuntorio,Submuntorio,Place,Dux Raetiae,Occidentis,Praefectus,legionis tertiae Italicae partis superioris deputatae ripae primae
Sucidaua,Sucidaua,Place,Dux Daciae ripensis,Oriens,Praefectus,legionis quintae Macedonicae
Sucidaua,Sucidaua,Place,Dux Moesiae secundae,Oriens,,Cuneus equitum stablesianorum
Suene,Suene,Place,Dux Thebaidos,Oriens,,Cohors quinta Suentium
Tabernas,Tabernas,Place,Comes Tingitaniae,Occidentis,Tribunus,cohortis tertiae Asturum
Tabernis,Tabernis,Place,Dux Mogontiacensis,Occidentis,Praefectus,militum Menapiorum
Tacasiria,Tacasiria,Place,Comes limitis Aegypti,Oriens,,Ala secunda Aegyptiorum
Talamonio,Talamonio,Place,Dux Scythiae,Oriens,,Cuneus equitum Arcadum
Taliatae,Taliatae,Place,Dux Moesiae primae,Oriens,Praefectus,militum exploratorum
Tamuco,Tamuco,Place,Comes Tingitaniae,Occidentis,Praefectus,alae Herculeae
Taurinis,Taurinis,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Tauruno,Tauruno,Place,Dux Pannoniae,Occidentis,,Equites promoti
Tauruno siue Marsonia,Tauruno,Place,Dux Pannoniae,Occidentis,,Auxilia ascarii
Teglicio,Teglicio,Place,Dux Moesiae secundae,Oriens,,Milites Moesiaci
Tentira,Tentira,Place,Dux Thebaidos,Oriens,,Equites sagittarii indigenae
Aquis siue Tertona,Tertona,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Teutibarcio,Teutibarcio,Place,Dux Pannoniae,Occidentis,,Equites promoti
Teutiborgio,Teutiborgio,Place,Dux Pannoniae,Occidentis,,Cuneus equitum Dalmatarum
Teutiborgio,Teutiborgio,Place,Dux Pannoniae,Occidentis,Praefectus,legionis sextae Herculeae
Thama,Thama,Place,Dux Foenicis,Oriens,,Cohors prima Orientalis
Thamana,Thamana,Place,Dux Palaestinae,Oriens,,Cohors quarta Palaestinorum
Thannuri,Thannuri,Place,Dux Mesopotamiae,Oriens,,Equites sagittarii indigenae
Thaubasteos,Thaubasteos,Place,Comes limitis Aegypti,Oriens,,Ala secunda Ulpia Afrorum
Thebas,Thebas,Place,Dux Thebaidos,Oriens,,Legio tertia Diocletiana
Thelsee,Thelsee,Place,Dux Foenicis,Oriens,,Equites Saraceni
Thenenuthi,Thenenuthi,Place,Comes limitis Aegypti,Oriens,,Ala tertia Arabum
Resain - Theodosiopoli,Theodosiopoli,Place,Dux Mesopotamiae,Oriens,,Equites promoti Illyriciani
Theraco,Theraco,Place,Dux Thebaidos,Oriens,,;Cohors prima Lusitanorum
Thilbisme,Thilbisme,Place,Dux Mesopotamiae,Oriens,,Equites sagittarii indigenae Thibithenses
Thillaamana,Thillaamana,Place,Dux Osrhoenae,Oriens,,Cohors prima Gaetulorum
Thillacama,Thillacama,Place,Dux Osrhoenae,Oriens,,Ala septima Valeria praelectorum
Thinunepis,Thinunepis,Place,Comes limitis Aegypti,Oriens,,Ala prima Tingitana
Thmou,Thmou,Place,Dux Thebaidos,Oriens,,Ala prima Hiberorum
Tohu,Tohu,Place,Comes limitis Aegypti,Oriens,,Cohors prima Augusta Pannoniorum
Touia -contra Bintha,Touia -contra Bintha,Place,Dux Osrhoenae,Oriens,,Ala prima Victoriae
Transalba,Transalba,Place,Dux Daciae ripensis,Oriens,,Auxilium Miliarensium
Transdiernis,Transdiernis,Place,Dux Daciae ripensis,Oriens,Praefectus,militum exploratorum
Transdrobeta,Transdrobeta,Place,Dux Daciae ripensis,Oriens,Praefectus,legionis tertiaedecimae geminae
Transiacinco,Transiacinco,Place,Dux provinciae Valeriae,Occidentis,Praefectus,legionis
Pannoniae secundae - translati Salonis,translati Salonis,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator gynaecii Bassianensis
Transluco,Transluco,Place,Dux Daciae ripensis,Oriens,,Auxilium Claustrinorum
Transmariscae,Transmariscae,Place,Dux Moesiae secundae,Oriens,,Milites Novenses
Transmariscae,Transmariscae,Place,Dux Moesiae secundae,Oriens,Praefectus,ripae legionis undecimae Claudiae cohortis quintae pedaturae inferioris
Transmariscae,Transmariscae,Place,Dux Moesiae secundae,Oriens,Praefectus,ripae legionis undecimae Claudiae cohortis quintae pedaturae superioris
Trapezunta,Trapezunta,Place,Dux Armeniae,Oriens,Praefectus,legionis primae Ponticae
Tricornio,Tricornio,Place,Dux Moesiae primae,Oriens,,Auxiliares Tricornienses
Tricornio,Tricornio,Place,Dux Moesiae primae,Oriens,,Auxilium Aureomontanum
Tricornio,Tricornio,Place,Dux Moesiae primae,Oriens,,Cuneus equtum sagittariorum
Trimammio,Trimammio,Place,Dux Moesiae secundae,Oriens,,Milites Constantini
Oasi minore - Trimtheos,Trimtheos,Place,Dux Thebaidos,Oriens,,Ala prima Quadorum
Trosmis,Trosmis,Place,Dux Scythiae,Oriens,,Milites secundi Constantini
Trosmis,Trosmis,Place,Dux Scythiae,Oriens,Praefectus,legionis secundae Herculiae
Tunnocelo,Tunnocelo,Place,Dux Britanniarum,Occidentis,Tribunus,cohortis primae Aeliae classicae
Ualtha,Ualtha,Place,Dux Arabiae,Oriens,,Cohors octava voluntaria
Ulucitra,Ulucitra,Place,Dux Moesiae secundae,Oriens,,Cohors quarta Gallorum
Uto,Uto,Place,Dux Daciae ripensis,Oriens,,Cuneus equitum Constantinianorum
Vale Alba,Vale Alba,Place,Dux Foenicis,Oriens,,Cohors prima Iulia lectorum
Vallatio,Vallatio,Place,Dux Raetiae,Occidentis,Praefectus,alae secundae Valeriae singularis
Varina,Varina,Place,Dux Daciae ripensis,Oriens,,Cuneus equitum Dalmatarum
Variniana,Variniana,Place,Dux Daciae ripensis,Oriens,Praefectus,legionis quintae Macedonicae
Venaxamodorum,Venaxamodorum,Place,Dux Raetiae,Occidentis,Tribunus,cohortis sextae Valeriaae Raetorum
Venetiae,Venetiae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,Praepositus,thesaurorum Aquileiensium
Venetiae et Histriae,Venetiae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator bafii Cissensis
Venetiae inferioris,Venetiae inferioris,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator gynaecii Aquileiensis
Veranoca,Veranoca,Place,Dux Foenicis,Oriens,,Cohors tetria Herculia
Vercellis,Vercellis,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Verofabula,Verofabula,Place,Dux Foenicis,Oriens,,Ala prima Saxonum
Sabure siue Veterocariae,Veterocariae,Place,Dux Palaestinae,Oriens,,Equites primi felices Palaestini
Vetusalinae,Vetusalinae,Place,Dux provinciae Valeriae,Occidentis,,Equites Dalmatae
Vico Iulio,Vico Iulio,Place,Dux Mogontiacensis,Occidentis,Praefectus,militum Anderetianorum
Viennae siue Arelati,Viennae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,classis fluminis Rhodani
Vimania,Vimania,Place,Dux Raetiae,Occidentis,Praefectus,alae secundae Valeriae Sequanorum
Viminacio,Viminacio,Place,Dux Moesiae primae,Oriens,,Cuneus equtum promotorum
Viminacio,Viminacio,Place,Dux Moesiae primae,Oriens,Praefectus,classis Histricae
Vincentiae,Vincentiae,Place,Dux provinciae Valeriae,Occidentis,Tribunus,cohortis
Vindolana,Vindolana,Place,Dux Britanniarum,Occidentis,Tribunus,cohortis quartae Gallorum
Arrunto siue Vindomanae,Vindomanae,Place,Dux Pannoniae primae,Occidentis,Praefectus,classis Histricae
Vindomarae,Vindomarae,Place,Dux Pannoniae primae,Occidentis,Praefectus,legionis decimae geminae
Virosido,Virosido,Place,Dux Britanniarum,Occidentis,Tribunus,cohortis sextae Neruiorum
Zernis,Zernis,Place,Dux Daciae ripensis,Oriens,Praefectus,legionis tertiaedecimae geminae
Zmirnae,Zmirnae,Place,Dux Moesiae primae,Oriens,Praefectus,militum exploratorum
Zoarae,Zoarae,Place,Dux Palaestinae,Oriens,,Equites sagittarii indigenae
Zodocathae,Zodocathae,Place,Dux Palaestinae,Oriens,,Equites promiti indigenae
