occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText
OCC000118,Occidentis,Dux provinciae Tripolitanae,1197,Bizerentane,limes,Praepositus,limitis Bizerentane,Tripolitanae,,,Tripolitanae,Tripolitanae,,Dux provinciae Tripolitanae / Dux provinciae Tripolitanae / Sub dispositione viri spectabilis ducis provinciae Tripolitanae
OCC000122,Occidentis,Dux provinciae Tripolitanae,1201,Tintiberitani,limes,Praepositus,limitis Tintiberitani,Tripolitanae,,,Tripolitanae,Tripolitanae,,Dux provinciae Tripolitanae / Dux provinciae Tripolitanae / Sub dispositione viri spectabilis ducis provinciae Tripolitanae
OCC000123,Occidentis,Dux provinciae Tripolitanae,1202,Bubensis,limes,Praepositus,limitis Bubensis,Tripolitanae,,,Tripolitanae,Tripolitanae,,Dux provinciae Tripolitanae / Dux provinciae Tripolitanae / Sub dispositione viri spectabilis ducis provinciae Tripolitanae
OCC000124,Occidentis,Dux provinciae Tripolitanae,1203,Mamucensis,limes,Praepositus,limitis Mamucensis,Tripolitanae,,,Tripolitanae,Tripolitanae,,Dux provinciae Tripolitanae / Dux provinciae Tripolitanae / Sub dispositione viri spectabilis ducis provinciae Tripolitanae
OCC000128,Occidentis,Dux provinciae Tripolitanae,1207,Madensibus,castris,,Milites Munifices in castris Madensibus,Tripolitanae,,,Tripolitanae,Tripolitanae,,Dux provinciae Tripolitanae / Dux provinciae Tripolitanae / Sub dispositione viri spectabilis ducis provinciae Tripolitanae
OCC000129,Occidentis,Dux provinciae Tripolitanae,1208,Sarcitani,limes,Praepositus,limitis Sarcitani,Tripolitanae,,,Tripolitanae,Tripolitanae,,Dux provinciae Tripolitanae / Dux provinciae Tripolitanae / Sub dispositione viri spectabilis ducis provinciae Tripolitanae
OCC000131,Occidentis,Dux Pannoniae,1224,Teutiborgio,tail,,Cuneus equitum Dalmatarum,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
OCC000133,Occidentis,Dux Pannoniae,1226,Cuccis,tail,,Cuneus equitum promotorum,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
OCC000135,Occidentis,Dux Pannoniae,1228,Secundarum,tail,,Cuneus equitum Italicianorum,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
OCC000138,Occidentis,Dux Pannoniae,1231,Teutibarcio,tail,,Equites promoti,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
OCC000140,Occidentis,Dux Pannoniae,1233,Cuccis,tail,,Equites sagittarii,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
OCC000141,Occidentis,Dux Pannoniae,1234,Bonoriae,tail,,Equites Dalmatae,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
OCC000143,Occidentis,Dux Pannoniae,1236,Acimirci,tail,,Equites sagittarii,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
OCC000144,Occidentis,Dux Pannoniae,1237,Ricti,tail,,Equites Dalmatae,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
OCC000148,Occidentis,Dux Pannoniae,1241,Arsaciana,tail,,Auxilia Novensia,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
OCC000156,Occidentis,Dux Pannoniae,1248,Teutiborgio,tail,Praefectus,legionis sextae Herculeae,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
OCC000164,Occidentis,Dux Pannoniae,1257,nunc Sisciae,tail,Praefectus,classis Aegetensium siue secundae Pannonicae,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
OCC000166,Occidentis,Dux Pannoniae,1259,Leonatae,tail,Tribunus,cohortis primae Ioviae,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
OCC000167,Occidentis,Dux Pannoniae,1260,Caput Basensis,tail,Tribunus,cohortis primae Thracum civium Romanorum,Pannoniae secundae ripariensis et Saviae,,,Pannoniae secundae ripariensis et Saviae,Pannoniae secundae ripariensis et Saviae,,Dux Pannoniae / Dux Pannoniae / Sub dispositione viri spectabilis ducis provinciae Pannoniae secundae ripariensis et Saviae
OCC000168,Occidentis,Dux provinciae Valeriae,1274,Solue,tail,,Cuneus equitum scutatorum,Valeriae ripensis,,,Valeriae ripensis,Valeriae ripensis,,Dux provinciae Valeriae / Dux provinciae Valeriae / Sub dispositione viri spectabilis ducis provinciae Valeriae ripensis
OCC000173,Occidentis,Dux provinciae Valeriae,1277,Conradcuha,alternate,,Cuneus equitum stablesianorum,Valeriae ripensis,,,Valeriae ripensis,Valeriae ripensis,,Dux provinciae Valeriae / Dux provinciae Valeriae / Sub dispositione viri spectabilis ducis provinciae Valeriae ripensis
